#,sector,company_size ,How frequently do you recruit into the company/organization?,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,Other,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),Other,pre-keywords,"Do you have any documentation for your recruitment process? If yes, please upload the document","Do you have any documentation available online which can explain your recruitment process? If yes, please share the URL",industry_4point0,All of these competencies,Decision making,Initiating actions,Supervising,Working with people (Team Player),Applying expertise/technology,Entrepreneurial Thinking,Persuading,Analyzing,Creative,Innovative,Learning,Researching,Planning,Organizing,Influencing,Adaption to Change,Commercial Thinking,Disciplinary Approach,Communication quality (oral),Communication quality (written),Disciplinary Approach,interdisciplinary Approach,multidisciplinary Approach,trans-disciplinary Approach,Other,response_final
h2cjv9qgosy6oy8085hh2cjv9qlpknls,IT ,Less than 10 employees - Micro-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,,,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
kezehbf9cxvg6elh0u79god46kezehbf,IT ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,,,Not sure,,https://www.bacancytechnology.com/interview-process,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
m5gz1ftmfwnkax6v3g4oim5gz10hjkbt,IT ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,Analyze the project work carried out from the resume,,,Online assessment (technical quiz/coding quiz),,Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",,Decision making,Initiating actions,,Working with people (Team Player),Applying expertise/technology,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
rgzs7k53fuu2o1tq01rgzvi8420o0v1x,IT ,Between 50-249 employees - Medium business,"Not fixed, As and when required",Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,Online assessment (technical quiz/coding quiz),,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
cadr9zipe4p3l7vjsnkmcadr9z2agug0,IT ,Between 50-249 employees - Medium business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),,,In-depth interview,,,,Yes,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",,,,,,,,,,,,,,,,,,,,,,,,,,Not sure about it,"Not sure is this helpful, but we would love to try"
9izx5yf3whsdepk19izx8ek05f7pajhs,IT ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,https://careers.google.com/how-we-hire/,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
z2vqh7zab2hwrfqm8z2vqh08abrj4u9f,IT ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",,Decision making,,Supervising,Working with people (Team Player),,Entrepreneurial Thinking,,,,,,,,,,,Commercial Thinking,,,,,,,,,"Not sure is this helpful, but we would love to try"
lit5amq0isbufecqkoal2hlit5a5uh8u,IT ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,Analyze the project work carried out from the resume,,,Online assessment (technical quiz/coding quiz),,Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,,Small Project Task,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
cp27csm5p5q9ok5tvrocp27ah2xg6w74,IT ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,,Structured technical interview,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
my04sf4nt5nvpvybx0bmy04sdaijkzn5,IT ,Between 50-249 employees - Medium business,Twice in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,,,,,,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,,,Yes,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
l0d04yae3s2ax402xxhl0d04uor008rw,IT ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),Task based test,Yes,,https://careers.myntra.com/jobs,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
m1iin7i3oxko96660y3m1iin62zboa0k,IT ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,https://www.capgemini.com/careers/career-paths/,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
qrqqgosjw9laeurdeoaqrqqg46uv8z3r,IT ,Between 10-49 employees - Small-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,Online assessment (technical quiz/coding quiz),,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
84w5jaq6cdz4m84w5eoec74zd2pc3tbd,IT ,Between 10-49 employees - Small-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,,Structured technical interview,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,Not Aware about this and not implimenting this,"No, this does not seem helpful during the recruitment process."
tdqntjj1gq83er5ggtdq6r4zpu6eb4ox,IT ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
snyc730z2zj90l1zsnyc731d66ut75pz,IT ,Between 10-49 employees - Small-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,,,,Online assessment (technical quiz/coding quiz),,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,,Technical Test,No,,,"No, we are not aware about Industry 4.0",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
w1zb556xsg92rnbooe8qsw1zb565th85,IT ,Between 50-249 employees - Medium business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,,,Online assessment (technical quiz/coding quiz),,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,No,,,"No, we are not aware about Industry 4.0",,Decision making,,Supervising,Working with people (Team Player),Applying expertise/technology,,,,,,Learning,Researching,,,,Adaption to Change,,,Communication quality (oral),Communication quality (written),,,,,,"Not sure is this helpful, but we would love to try"
epqbri3uytou697epqb1o8me1na1ptez,IT ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,Analyze the previous work experience from the resume,,,Checkout the previous company background and Higher Education College Background,Online assessment (technical quiz/coding quiz),,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,Interview with open-ended question (to know the behavioral and other aspects of a person),Give some Hypothetical Problem defination to check the candidate's approach towerds the problem solving,No,,https://careers.microsoft.com/us/en/interviewtips,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,Pickup the competencies based on the job role,Yes
q4ta5nw9m18godaq7ev07q4ta5nwtgw1,IT ,More than 250 employees - Large-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,,,,,,Short virtual chats (video call/telephonic call for the basic information extraction),,,In-depth interview,,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
8vkftqp3huk67tmwbnm3is8vkftclu1i,Legal ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Prectice Year,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
q2zeqp6psjcs6d7gpvubq2zeqpibfbtn,Legal ,Between 50-249 employees - Medium business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,Yes,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
1xfq5fhxg66nqucdsgig41xfq72nz3o7,Legal ,More than 250 employees - Large-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
tkdnyb8i9pkdhfyq5ed6nstkdnyb8x6n,Legal ,More than 250 employees - Large-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
627hb6t1c19b2glyzlr56ro9vx627hb6,Legal ,Between 50-249 employees - Medium business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
o429ou6pnip6sq3csie7o429ouvz7rd7,Legal ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Prectice time,,,,,,In-depth interview,,,,Not sure,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,Not Using 4IR,"No, this does not seem helpful during the recruitment process."
8kj28qgboo8cbovtmg8kj28tu9ci1cbk,Legal ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,Not sure,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"No, this does not seem helpful during the recruitment process."
8a4ruf3mnvnz1g6v3298a4rzv3ql2ygo,Legal ,More than 250 employees - Large-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
ogsf1w2b8yovj6xzpiiogsf1w2trw8q8,Legal ,Between 10-49 employees - Small-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,Not sure,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"No, this does not seem helpful during the recruitment process."
vi6miuwnod3pvnh6kju3nqvi6migzpu5,Legal ,More than 250 employees - Large-sized business,Twice in a Year,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
5k6yer8k31bmz1yhh5k6yerehcacxi4j,Legal ,Between 50-249 employees - Medium business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Prectice Goodwill,,,,,,In-depth interview,Structured technical interview,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
buu03rhwc2bwjd9sxbuu03r7jxprtdd2,Legal ,More than 250 employees - Large-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
pmztjg5rrc40mm8anduupmztj1675n3g,Legal ,More than 250 employees - Large-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Prectice Duration,,,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,,,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,,,,,,,Persuading,Analyzing,,,,Researching,,Organizing,,,,,Communication quality (oral),Communication quality (written),,,multidisciplinary Approach,,,Yes
oiph86gxzodziqep8pfoiph88aus9ao3,Legal ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,Prectice Duration,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,,,In-depth interview,,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
k3r9tmpiiynvka6geok3r9bpyf9s124s,Legal ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),Interview based on Research Legeal Knowledge,Yes,,https://www.ibm.com/blogs/jobs/,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,,,,,Applying expertise/technology,,Persuading,Analyzing,Creative,Innovative,Learning,Researching,,,,Adaption to Change,Commercial Thinking,,,,,,multidisciplinary Approach,,,Yes
wv0zstcg76ybvnzeiorx1krwv0zstcgl,Others,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
6g2eiicbj0g09oo4uk6g2eiuooawbp61,Others,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
pa0nfjc8rkv3zhvvkdpa0nfjjhqdyqh5,Others,Between 50-249 employees - Medium business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Prectical Application,,,,,,In-depth interview,,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
y0xij5vt58pwlkat6y0xijjry9lt4g5m,Others,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"No, this does not seem helpful during the recruitment process."
nb8sg90v5og6ugnjvxnb8sg9a1u1xkju,Others,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,No,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
kby0d33hb6zakgekby0q9lz6ngfn5bdg,Others,Between 50-249 employees - Medium business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
mkk2oed48t533j6vfmkk2ox688xky5i6,Others,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"No, this does not seem helpful during the recruitment process."
t6gbahjuc2a8amit6gbahjgloi2pcb5r,Others,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,Decision making,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
ej35gpmaot4vow3ej35gp8n4z5oyn3l6,Others,Less than 10 employees - Micro-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,Not Required,"No, this does not seem helpful during the recruitment process."
r1euiuiksg8gfel9r1euiunyiomprksj,Others,Between 50-249 employees - Medium business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
f3ekzp2oa8asd8ymvhl1zpf3ekzpsgqf,Others,Less than 10 employees - Micro-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,Analyze the project work carried out from the resume,,,,,,,,In-depth interview,,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
j5x8j06ug84ipjpj5x8jbyy5ewx0vdx9,Others,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,,,,,,In-depth interview,,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
bqj1d7z86bhsbcwge53qt9bqj1d7zboq,Others,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Check the on-field experience,,,,,,In-depth interview,,,,Not sure,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,As of now we do not need this,"No, this does not seem helpful during the recruitment process."
f98iyutkiz7bjca3ovf98mb659jgccmj,Others,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Refrances,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"No, this does not seem helpful during the recruitment process."
r1leywca42gxjo5ir1leph9dpjux4ewp,Others,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,Not using this and do not required,"No, this does not seem helpful during the recruitment process."
